,año,clave_entidad,entidad,clave_municipio,municipio,bien_juridico_afectado,tipo_delito,subtipo_delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
0,2015,1,Aguascalientes,1001,Aguascalientes,La familia,Violencia familiar,Violencia familiar,Violencia familiar,18,36,24,24,28,28,35,38,47,53,40,39
1,2015,1,Aguascalientes,1002,Asientos,La familia,Violencia familiar,Violencia familiar,Violencia familiar,2,0,0,3,1,1,0,1,0,1,1,0
2,2015,1,Aguascalientes,1003,Calvillo,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,1,0,3,2,2,0,1,1,1,0,1
3,2015,1,Aguascalientes,1004,Cosío,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,1,Aguascalientes,1005,Jesús María,La familia,Violencia familiar,Violencia familiar,Violencia familiar,3,1,0,1,0,2,0,2,0,1,1,0
5,2015,1,Aguascalientes,1006,Pabellón de Arteaga,La familia,Violencia familiar,Violencia familiar,Violencia familiar,2,0,1,4,2,1,0,0,0,0,0,0
6,2015,1,Aguascalientes,1007,Rincón de Romos,La familia,Violencia familiar,Violencia familiar,Violencia familiar,2,1,0,1,1,1,1,0,0,0,1,0
7,2015,1,Aguascalientes,1008,San José de Gracia,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,1,0,1,0,0,0,0,0,0
8,2015,1,Aguascalientes,1009,Tepezalá,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,1,0,0,0
9,2015,1,Aguascalientes,1010,El Llano,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,0,0,0,0,0,0,1,0,0
10,2015,1,Aguascalientes,1011,San Francisco de los Romo,La familia,Violencia familiar,Violencia familiar,Violencia familiar,2,2,1,4,1,2,1,1,1,1,0,0
11,2015,2,Baja California,2001,Ensenada,La familia,Violencia familiar,Violencia familiar,Violencia familiar,35,36,33,39,31,34,30,36,26,46,40,21
12,2015,2,Baja California,2002,Mexicali,La familia,Violencia familiar,Violencia familiar,Violencia familiar,163,193,256,252,241,254,273,257,236,226,192,152
13,2015,2,Baja California,2003,Tecate,La familia,Violencia familiar,Violencia familiar,Violencia familiar,26,33,27,23,30,27,48,23,30,44,34,35
